Area,Employment Rate,Any neurotic disorder-Rates per 1000 population,All phobias-Rates per 1000 population,Depressive episode-Rates per 1000 population,Generalised anxiety disorder-Rates per 1000 population,Mixed anxiety depression-Rates per 1000 population,Obsessive compulsive disorder-Rates per 1000 population,Panic disorder-Rates per 1000 population
Barking and Dagenham,45,177.5,21.3,34.4,51.1,82.6,15.2,8.2
Barnet,110,167.4,20.0,32.5,49.0,77.4,14.1,7.9
Bexley,63,155.6,18.5,30.4,45.9,71.7,13.0,7.3
Brent,93,182.3,21.8,35.2,53.0,84.4,15.5,8.5
Bromley,105,157.7,18.7,31.0,47.2,72.4,13.1,7.4
Camden,260,206.3,24.7,39.3,58.5,97.0,17.8,9.5
City of London,322,190.6,22.0,39.5,60.4,84.4,15.9,9.4
Croydon,128,172.4,20.7,33.7,50.9,79.5,14.6,8.0
Ealing,119,174.4,20.8,34.0,51.7,80.0,14.7,8.2
Enfield,93,170.7,20.4,33.4,50.4,78.7,14.4,7.9
Greenwich,65,189.8,22.8,36.7,54.9,88.3,16.2,8.8
Hackney,79,212.7,25.9,40.6,61.1,99.6,18.2,9.7
Hammersmith and Fulham,119,205.7,24.7,39.2,59.6,95.9,17.4,9.6
Haringey,62,200.9,24.2,38.8,58.7,93.0,17.1,9.3
Harrow,68,153.9,18.2,30.0,45.4,70.8,12.9,7.3
Havering,75,151.4,17.7,29.7,44.8,69.5,12.7,7.2
Hillingdon,185,160.1,19.1,31.2,46.5,74.1,13.7,7.4
Hounslow,116,168.9,20.1,33.0,49.8,77.6,14.4,8.0
Islington,170,212.7,25.7,40.6,60.6,100.0,18.3,9.7
Kensington and Chelsea,113,195.2,23.4,37.9,57.2,90.4,16.6,9.1
Lambeth,120,209.9,25.3,40.6,62.3,96.8,17.7,9.8
Lewisham,61,197.9,24.0,38.6,58.5,91.4,16.8,9.1
Merton,65,171.4,20.6,33.3,50.8,78.9,14.4,8.1
Newham,73,190.9,23.0,36.7,54.2,88.8,16.7,8.8
Redbridge,60,161.6,19.2,31.6,47.7,74.3,13.6,7.6
Southwark,162,206.4,24.9,39.9,60.2,95.6,17.8,9.5
Sutton,63,161.2,19.2,31.7,48.2,73.9,13.5,7.6
Tower Hamlets,196,198.0,23.6,37.5,56.3,92.9,17.0,9.1
Waltham Forest,59,183.8,22.3,35.6,53.8,84.7,15.7,8.5
Wandsworth,107,200.1,24.3,37.6,57.1,94.4,16.8,9.3
