Area,NVQ4+,NVQ3,Trade Apprenticeship,NVQ2,NVQ1,Other Qualifications,No Qualifications
Barking and Dagenham,13300.00,8100.00,2500.00,5400.00,14100.00,11000.00,12200.00
Barnet,67900.00,16000.00,3200.00,6500.00,11700.00,35400.00,8500.00
Bexley,27000.00,19600.00,4500.00,9100.00,21800.00,12100.00,7000.00
Brent,46300.00,12900.00,4900.00,6900.00,12000.00,35600.00,9500.00
Bromley,59500.00,22000.00,6400.00,9700.00,17800.00,14400.00,10700.00
Camden,65100.00,8900.00,1200.00,3500.00,5300.00,13700.00,6800.00
Croydon,58600.00,30600.00,5700.00,12600.00,19200.00,17700.00,17400.00
Ealing,65600.00,17500.00,4400.00,7800.00,12700.00,36600.00,12300.00
Enfield,54900.00,15500.00,6200.00,5800.00,13000.00,22100.00,9700.00
Greenwich,44700.00,15100.00,5100.00,6400.00,12000.00,10900.00,9800.00
Hackney,45400.00,9200.00,1400.00,5800.00,5300.00,13300.00,14900.00
Hammersmith and Fulham,57800.00,8500.00,1500.00,1500.00,5700.00,15400.00,3800.00
Haringey,57500.00,10500.00,2600.00,5600.00,7700.00,22700.00,9200.00
Harrow,43100.00,14000.00,3600.00,5200.00,9900.00,27000.00,6000.00
Havering,22800.00,17800.00,6700.00,6100.00,17800.00,11600.00,17400.00
Hillingdon,37600.00,18100.00,8500.00,7500.00,13700.00,19200.00,13900.00
Hounslow,46500.00,17100.00,4100.00,7400.00,11400.00,24000.00,9100.00
Islington,54000.00,7200.00,1100.00,5600.00,6600.00,9100.00,8300.00
Kensington and Chelsea,41500.00,6100.00,1500.00,2800.00,2700.00,15900.00,6200.00
Kingston upon Thames,39700.00,11800.00,2200.00,5000.00,8100.00,6600.00,4800.00
Lewisham,49000.00,14300.00,3200.00,8900.00,15700.00,22000.00,13000.00
Merton,45200.00,10300.00,4500.00,5000.00,10400.00,17000.00,7100.00
Newham,35700.00,10100.00,2500.00,4900.00,11600.00,32700.00,11700.00
Redbridge,50300.00,17800.00,2500.00,4600.00,12700.00,17600.00,7100.00
Richmond upon Thames,57400.00,10200.00,3100.00,5000.00,6100.00,7300.00,4300.00
Southwark,62500.00,10800.00,2200.00,7200.00,9300.00,16200.00,20300.00
Sutton,33900.00,17000.00,2700.00,6800.00,13400.00,5000.00,9500.00
Tower Hamlets,37900.00,10400.00,1000.00,5300.00,8300.00,16100.00,13000.00
Waltham Forest,35300.00,13300.00,2200.00,6100.00,13500.00,19400.00,12600.00
Wandsworth,98800.00,15400.00,2700.00,4100.00,7900.00,18400.00,13100.00
